Date,BRADESCO,BB,NUBANK,ITAÚ,CAIXA,BOVA
2019-03-01,23.415977478027344,51.310001373291016,,30.75,,
2019-03-06,23.2281494140625,50.630001068115234,,30.489999771118164,,90.76000213623047
2019-03-07,23.441020965576172,50.43000030517578,,31.170000076293945,,
2019-03-08,23.66641616821289,52.20000076293945,,31.579999923706055,,91.8499984741211
2019-03-11,24.630603790283203,53.79999923706055,,32.099998474121094,,
2019-03-12,24.899824142456055,53.34000015258789,,32.15999984741211,,94.4000015258789
2019-03-13,24.88730239868164,54.15999984741211,,32.5,,95.30999755859375
2019-03-14,24.79964828491211,53.75,,31.799999237060547,,
2019-03-15,24.918607711791992,54.209999084472656,,31.3700008392334,,
2019-03-18,25.100175857543945,53.79999923706055,,32.040000915527344,,
2019-03-19,24.605558395385742,52.650001525878906,,31.700000762939453,,
2019-03-20,24.142248153686523,51.470001220703125,,31.239999771118164,,
2019-03-21,23.384672164916992,50.38999938964844,,30.59000015258789,,93.01000213623047
2019-03-22,22.76483726501465,47.650001525878906,,29.850000381469727,,
2019-03-25,22.85249137878418,47.9900016784668,,29.649999618530273,,90.3499984741211
2019-03-26,22.927623748779297,49.119998931884766,,29.579999923706055,,91.91000366210938
2019-03-27,22.201351165771484,46.400001525878906,,28.799999237060547,,88.0999984741211
2019-03-28,23.165538787841797,48.02000045776367,,29.610000610351562,,91.0199966430664
2019-03-29,23.697721481323242,48.720001220703125,,29.850000381469727,,91.80999755859375
2019-04-01,23.741546630859375,49.20000076293945,,29.649999618530273,,92.3499984741211
2019-04-02,23.51615333557129,48.77000045776367,,29.399999618530273,,91.83000183105469
2019-04-03,23.215627670288086,48.25,,29.010000228881836,,91.16000366210938
2019-04-04,23.591283798217773,48.83000183105469,,29.450000762939453,,92.87000274658203
2019-04-05,23.71900749206543,49.11000061035156,,29.850000381469727,,93.55999755859375
2019-04-08,23.801652908325195,49.189998626708984,,29.700000762939453,,93.77999877929688
2019-04-09,23.658903121948242,48.45000076293945,,29.559999465942383,,92.69999694824219
2019-04-10,23.441020965576172,48.810001373291016,,29.31999969482422,,92.48999786376953
2019-04-11,23.193086624145508,48.349998474121094,,28.940000534057617,,91.37999725341797
2019-04-12,22.91510009765625,46.72999954223633,,28.639999389648438,,89.51000213623047
2019-04-15,22.734785079956055,46.86000061035156,,28.780000686645508,,89.80999755859375
2019-04-16,22.719758987426758,47.83000183105469,,28.579999923706055,,91.0
2019-04-17,22.59954833984375,47.20000076293945,,28.43000030517578,,90.0
2019-04-18,22.877534866333008,48.849998474121094,,28.81999969482422,,91.16000366210938
2019-04-22,22.87002182006836,48.34000015258789,,28.6200008392334,,91.19999694824219
2019-04-23,23.29075813293457,49.310001373291016,,29.149999618530273,,92.37000274658203
2019-04-24,23.29827117919922,48.310001373291016,,29.149999618530273,,91.5999984741211
2019-04-25,23.29075813293457,49.099998474121094,,29.329999923706055,,92.9000015258789
2019-04-26,23.29075813293457,49.349998474121094,,29.309999465942383,,92.62999725341797
2019-04-29,23.223140716552734,49.369998931884766,,29.350000381469727,,92.72000122070312
2019-04-30,23.29075813293457,49.68000030517578,,29.350000381469727,,92.87999725341797
2019-05-02,23.380916595458984,49.790000915527344,,29.459999084472656,,92.08000183105469
2019-05-03,23.839218139648438,50.08000183105469,,29.290000915527344,,92.5999984741211
2019-05-06,23.065364837646484,49.369998931884766,,28.68000030517578,,91.61000061035156
2019-05-07,22.742298126220703,49.4900016784668,,28.510000228881836,,90.9800033569336
2019-05-08,23.275732040405273,50.59000015258789,,28.729999542236328,,92.11000061035156
2019-05-09,22.81743049621582,51.029998779296875,,28.5,,91.37000274658203
2019-05-10,22.584522247314453,50.15999984741211,,28.200000762939453,,90.80000305175781
2019-05-13,21.938392639160156,48.369998931884766,,27.75,,88.30999755859375
2019-05-14,21.75056266784668,47.900001525878906,,27.639999389648438,,88.76000213623047
2019-05-15,21.555221557617188,47.11000061035156,,27.670000076293945,,87.87000274658203
2019-05-16,21.16453742980957,45.63999938964844,,27.440000534057617,,86.55999755859375
2019-05-17,21.337339401245117,44.849998474121094,,27.399999618530273,,86.73999786376953
2019-05-20,22.073627471923828,46.56999969482422,,28.040000915527344,,88.83000183105469
2019-05-21,23.02779769897461,49.22999954223633,,29.020000457763672,,91.19000244140625
2019-05-22,22.697219848632812,48.81999969482422,,29.170000076293945,,90.95999908447266
2019-05-23,22.70473289489746,48.900001525878906,,28.920000076293945,,90.43000030517578
2019-05-24,22.55447006225586,49.619998931884766,,28.700000762939453,,90.25
2019-05-27,22.877534866333008,50.59000015258789,,28.510000228881836,,91.5
2019-05-28,23.643875122070312,51.25,,29.260000228881836,,92.8499984741211
2019-05-29,24.079639434814453,51.20000076293945,,29.790000915527344,,93.05999755859375
2019-05-30,24.45529556274414,51.95000076293945,,30.149999618530273,,93.95999908447266
2019-05-31,24.530427932739258,51.849998474121094,,30.110000610351562,,93.58999633789062
2019-06-03,24.620586395263672,52.09000015258789,,30.239999771118164,,93.4800033569336
